Repository Name,Description,Last Update Date,Language,Number of Stars,Tags,Url
chosen,"Chosen is a library for making long, unwieldy select boxes more friendly.",2017-06-22T19:52:02Z,HTML,20.9k,,https://github.com/harvesthq/chosen
es6features,Overview of ECMAScript 6 features,2017-06-22T03:12:28Z,,20.7k,,https://github.com/lukehoban/es6features
Modernizr,Modernizr is a JavaScript library that detects HTML5 and CSS3 features in the users browser.,2017-06-12T21:37:38Z,JavaScript,20.6k,"javascript-library,javascript,css3-features,modernizr,feature-detection",https://github.com/Modernizr/Modernizr
okhttp,An HTTP+HTTP/2 client for Android and Java applications.,2017-06-24T08:33:24Z,Java,20.6k,,https://github.com/square/okhttp
select2,"Select2 is a jQuery based replacement for select boxes. It supports searching, remote data sets, and infinite scrolli",2017-06-21T05:15:05Z,JavaScript,20.5k,"javascript,jquery,select2",https://github.com/select2/select2
awesome-ios,"A curated list of awesome iOS ecosystem, including Objective-C and Swift Projects",2017-06-24T15:50:09Z,Swift,20.4k,"swift-wrapper,xcode-plugin,ios-animation,swift-framework,swift-programming,swift-library,swift-extensions,swift-language,awesome,ios,objective-c,objective-c-library,objective-c-extensions,apple-swift",https://github.com/vsouza/awesome-ios
markdown-here,"Google Chrome, Firefox, and Thunderbird extension that lets you write email in Markdown and render it before sending.",2017-06-13T11:15:14Z,JavaScript,20.4k,,https://github.com/adam-p/markdown-here
hackathon-starter,A boilerplate for Node.js web applications,2017-06-18T21:55:28Z,CSS,20.1k,"hackathon,nodejs,boilerplate,oauth2",https://github.com/sahat/hackathon-starter
awesome-react,A collection of awesome things regarding React ecosystem.,2017-06-23T07:54:57Z,,20k,,https://github.com/enaqx/awesome-react
nvm,Node Version Manager - Simple bash script to manage multiple active node.js versions,2017-06-23T07:54:47Z,Shell,19.9k,,https://github.com/creationix/nvm
java-design-patterns,Design patterns implemented in Java,2017-06-15T22:05:13Z,Java,19.8k,"principles,java,design-patterns",https://github.com/iluwatar/java-design-patterns
awesome-courses, List of awesome university courses for learning Computer Science!,2017-06-19T16:18:12Z,HTML,19.8k,"computer-science,awesome,courses,awesome-list",https://github.com/prakhar1989/awesome-courses
gogs,Gogs is a painless self-hosted Git service.,2017-06-21T21:41:27Z,Go,19.7k,"gogs,go,git",https://github.com/gogits/gogs
pm2,Production process manager for Node.js apps with a built-in load balancer.,2017-06-23T15:56:10Z,JavaScript,19.5k,"startup-script,pm2,nodejs,process-manager,node,monitoring,manager,deploy,production,process,load-balancer,forever",https://github.com/Unitech/pm2
fullPage.js,fullPage plugin by Alvaro Trigo. Create full screen pages fast and simple,2017-05-30T22:30:54Z,JavaScript,19.5k,"slide,scrolling,javascript,jquery,slideshow,snap,fullscreen,swipe,onepage,fullpage,sections,mousewheel",https://github.com/alvarotrigo/fullPage.js
gitlabhq,GitLab CE | Please open new issues in our issue tracker on GitLab.com,2017-06-22T16:10:32Z,Ruby,19.5k,"ruby,gitlab,rails",https://github.com/gitlabhq/gitlabhq
Projects, A list of practical projects that anyone can solve in any programming language.,2017-06-05T03:15:34Z,,19.5k,,https://github.com/karan/Projects
scikit-learn,scikit-learn: machine learning in Python,2017-06-24T18:53:10Z,Python,19.4k,"python,data-science,machine-learning,statistics,data-analysis",https://github.com/scikit-learn/scikit-learn
android-architecture,A collection of samples to discuss and showcase different architectural tools and patterns for Android apps.,2017-06-23T02:06:34Z,,19.3k,"android-architecture,android,contentprovider,android-development,clean-architecture,samples,dagger2,loaders,mvvm-architecture,databinding,mvp-android,dagger2-mvp,rxjava-android",https://github.com/googlesamples/android-architecture
immutable-js,Immutable persistent data collections for Javascript which increase efficiency and simplicity.,2017-06-24T13:17:02Z,JavaScript,19.3k,,https://github.com/facebook/immutable-js
rethinkdb,The open-source database for the realtime web.,2017-06-22T21:33:37Z,C++,19.2k,,https://github.com/rethinkdb/rethinkdb
awesome-public-datasets,"An awesome list of high-quality open datasets in public domains (on-going). By everyone, for everyone!",2017-06-24T04:36:44Z,,19.2k,,https://github.com/caesar0301/awesome-public-datasets
HEAD,A list of everything that could go in the <head> of your document,2017-06-22T05:41:22Z,,19.2k,"meta-tags,html5,head",https://github.com/joshbuchea/HEAD
awesome-awesomeness,A curated list of awesome awesomeness,2017-06-21T13:40:41Z,Ruby,19.1k,,https://github.com/bayandin/awesome-awesomeness
certbot,"Certbot, previously the Let's Encrypt Client, is EFF's tool to obtain certs from Let's Encrypt, and (optionally) auto",2017-06-23T16:41:03Z,Python,18.9k,"python,letsencrypt,acme-client,certificate,acme,certbot",https://github.com/certbot/certbot
public-apis,A collective list of public JSON APIs for use in web development.,2017-06-24T18:22:38Z,,18.8k,,https://github.com/toddmotto/public-apis
Leaflet, JavaScript library for mobile-friendly interactive maps,2017-06-24T08:04:43Z,JavaScript,18.7k,"leaflet,javascript,maps",https://github.com/Leaflet/Leaflet
echarts,"A powerful, interactive charting and visualization library for browser",2017-06-22T07:26:35Z,JavaScript,18.7k,"echarts,javascript,visualization,chart",https://github.com/ecomfe/echarts
caffe,Caffe: a fast open framework for deep learning.,2017-06-24T05:44:36Z,C++,18.7k,,https://github.com/BVLC/caffe
slick,the last carousel you'll ever need,2017-06-23T14:08:13Z,JavaScript,18.6k,,https://github.com/kenwheeler/slick
free-programming-books-zh_CN, ,2017-06-06T18:06:15Z,JavaScript,18.6k,"javascript,python,pdf,android,programming,books,free",https://github.com/justjavac/free-programming-books-zh_CN
android_guides,Extensive Open-Source Guides for Android Developers,2017-05-15T11:24:42Z,,18.6k,"android,codepath,development,tutorials,guides",https://github.com/codepath/android_guides
pdf.js,PDF Reader in JavaScript,2017-06-23T20:48:16Z,JavaScript,18.3k,,https://github.com/mozilla/pdf.js
bootstrap-material-design,Material design theme for Bootstrap 3 and 4,2017-05-09T21:33:21Z,CSS,18.3k,,https://github.com/FezVrasta/bootstrap-material-design
shadowsocks,"Updated Jun 24, 2017",2017-06-24T04:23:52Z,Python,18.2k,,https://github.com/shadowsocks/shadowsocks
protobuf,Protocol Buffers - Google's data interchange format,2017-06-24T19:20:57Z,C++,18.2k,"protobuf-runtime,protocol-compiler,protobuf,protocol-buffers,serialization,marshalling,rpc,protoc",https://github.com/google/protobuf
git,Git Source Code Mirror - This is a publish-only repository and all pull requests are ignored. Please follow Documenta,2017-06-24T02:13:52Z,C,18k,"shell,c",https://github.com/git/git
hugo,A Fast and Flexible Static Site Generator built with love in GoLang.,2017-06-24T17:11:30Z,Go,18k,"go,hugo,static-site-generator,cms,documentation-tool,blog-engine,content-management-system",https://github.com/gohugoio/hugo
ember.js,Ember.js - A JavaScript framework for creating ambitious web applications,2017-06-24T19:06:16Z,JavaScript,18k,,https://github.com/emberjs/ember.js
SDWebImage,Asynchronous image downloader with cache support as a UIImageView category,2017-06-23T13:25:50Z,Objective-C,18k,,https://github.com/rs/SDWebImage
polymer,Build modern apps using web components,2017-06-23T23:59:51Z,HTML,17.8k,"polymer,web-components",https://github.com/Polymer/polymer
clipboard.js, Modern copy to clipboard. No Flash. Just 3kb gzipped ,2017-06-15T02:22:36Z,JavaScript,17.8k,"clipboard,javascript",https://github.com/zenorocha/clipboard.js
pop,"An extensible iOS and OS X animation library, useful for physics-based interactions.",2017-06-18T19:51:51Z,Objective-C++,17.8k,,https://github.com/facebook/pop
